iter	Passed	Remaining
0	15	15961
1	30	15368
2	45	15170
3	59	14922
4	75	14982
5	91	15084
6	106	15085
7	120	14974
8	135	14922
9	150	14947
10	165	14859
11	179	14810
12	194	14773
13	208	14704
14	223	14679
15	239	14704
16	254	14706
17	268	14646
18	283	14628
19	297	14559
20	311	14517
21	325	14472
22	340	14457
23	353	14359
24	363	14169
25	374	14016
26	385	13901
27	400	13901
28	413	13858
29	428	13850
30	442	13820
31	456	13817
32	471	13803
33	485	13794
34	500	13787
35	514	13777
36	528	13756
37	543	13757
38	557	13743
39	572	13743
40	587	13740
41	602	13738
42	617	13734
43	632	13737
44	647	13742
45	661	13722
46	676	13711
47	690	13693
48	705	13688
49	719	13670
50	734	13666
51	749	13656
52	763	13639
53	777	13628
54	792	13619
55	806	13603
56	822	13610
57	838	13619
58	851	13581
59	866	13573
60	881	13562
61	895	13551
62	910	13541
63	925	13532
64	940	13522
65	954	13502
66	964	13437
67	975	13372
68	990	13363
69	1005	13354
70	1019	13343
71	1034	13333
72	1048	13318
73	1063	13306
74	1077	13295
75	1092	13278
76	1107	13271
77	1121	13255
78	1136	13247
79	1152	13248
80	1168	13259
81	1182	13242
82	1196	13224
83	1211	13209
84	1226	13201
85	1240	13182
86	1255	13173
87	1270	13164
88	1285	13153
89	1300	13149
90	1315	13139
91	1329	13124
92	1341	13084
93	1352	13037
94	1365	13012
95	1379	12992
96	1393	12970
97	1406	12944
98	1421	12932
99	1435	12920
100	1451	12920
101	1466	12912
102	1490	12977
103	1514	13045
104	1542	13148
105	1569	13236
106	1583	13219
107	1598	13204
108	1613	13190
109	1628	13178
110	1643	13162
111	1658	13148
112	1673	13136
113	1688	13124
114	1703	13106
115	1720	13113
116	1735	13095
117	1749	13073
118	1762	13049
119	1776	13029
120	1791	13014
121	1807	13008
122	1822	12997
123	1838	12987
124	1853	12977
125	1867	12952
126	1877	12909
127	1889	12871
128	1903	12852
129	1918	12837
130	1932	12820
131	1947	12804
132	1962	12790
133	1976	12776
134	1992	12766
135	2007	12755
136	2023	12747
137	2039	12738
138	2054	12723
139	2068	12704
140	2082	12687
141	2095	12660
142	2104	12611
143	2118	12592
144	2133	12582
145	2148	12566
146	2162	12547
147	2177	12533
148	2192	12520
149	2207	12511
150	2223	12499
151	2234	12467
152	2247	12444
153	2262	12426
154	2276	12411
155	2291	12395
156	2305	12379
157	2320	12364
158	2335	12354
159	2350	12340
160	2366	12329
161	2382	12324
162	2397	12310
163	2412	12300
164	2427	12284
165	2442	12271
166	2454	12244
167	2470	12234
168	2484	12217
169	2500	12206
170	2514	12190
171	2529	12177
172	2546	12172
173	2562	12162
174	2577	12150
175	2591	12132
176	2606	12120
177	2621	12106
178	2636	12091
179	2650	12076
180	2665	12060
181	2682	12056
182	2697	12040
183	2712	12027
184	2726	12012
185	2741	11995
186	2755	11980
